Individual,Mean_moving_velocity,Date,Colony,Species,Origin
10_2_1,3.097045901,10/2/2022,HML1,Leptothorax_az02,Huachuca_Mountains_AZ
10_2_10,2.206771218,10/2/2022,GLT25,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_2_11,4.528496166,10/2/2022,GLT25,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_2_12,2.884667651,10/2/2022,HML8,Leptothorax_az02,Huachuca_Mountains_AZ
10_2_13,4.307401881,10/2/2022,HML8,Leptothorax_az02,Huachuca_Mountains_AZ
10_2_14,3.475418875,10/2/2022,HML8,Leptothorax_az02,Huachuca_Mountains_AZ
10_2_15,3.37749509,10/2/2022,PWT1,Temnothorax_curvispinosus,Potawatomi_Woods_Cook_County_IL
10_2_16,2.366757955,10/2/2022,PWT1,Temnothorax_curvispinosus,Potawatomi_Woods_Cook_County_IL
10_2_17,2.46621273,10/2/2022,PWT1,Temnothorax_curvispinosus,Potawatomi_Woods_Cook_County_IL
10_2_18,2.49843956,10/2/2022,PWT1,Temnothorax_curvispinosus,Potawatomi_Woods_Cook_County_IL
10_2_19,2.007804797,10/2/2022,PWT1,Temnothorax_curvispinosus,Potawatomi_Woods_Cook_County_IL
10_2_2,2.386846876,10/2/2022,GLT25,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_2_20,0.643974213,10/2/2022,JR4T8,Temnothorax_andrei,UC_James_San_Jacinto_Mountain_Reserve_Riverside_County_CA
10_2_21,0.705809557,10/2/2022,JR4T8,Temnothorax_andrei,UC_James_San_Jacinto_Mountain_Reserve_Riverside_County_CA
10_2_22,4.265740146,10/2/2022,JR4T8,Temnothorax_andrei,UC_James_San_Jacinto_Mountain_Reserve_Riverside_County_CA
10_2_23,3.353185404,10/2/2022,PA2249,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_2_24,1.843191046,10/2/2022,PA2249,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_2_25,2.594209865,10/2/2022,PA2249,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_2_26,3.980012519,10/2/2022,PA2229,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_2_27,4.113085699,10/2/2022,PA2229,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_2_28,3.155449414,10/2/2022,PA2229,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_2_29,3.368683486,10/2/2022,PA2229,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_2_3,3.949671656,10/2/2022,GLT25,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_2_30,3.51169908,10/2/2022,PA2229,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_2_31,4.089471526,10/2/2022,PA2229,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_2_32,6.322781374,10/2/2022,PA2229,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_2_33,3.351597991,10/2/2022,PA2229,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_2_34,2.781315655,10/2/2022,LAT8,Temnothorax_nitens,San_Gabriel_Mountains_CA
10_2_35,3.097437803,10/2/2022,BFLT4,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX
